,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
2016-10-31,781.030029296875,793.7000122070312,780.1099853515625,789.8200073242188,789.8200073242188,5413300,AMZN,812.7201,785.4099731445312,0.0,-22.90008544921875
2016-11-01,799.0,800.8400268554688,776.7100219726562,785.4099731445312,785.4099731445312,5305400,AMZN,805.7333,765.5599975585938,0.0,-20.32330322265625
2016-11-02,783.9299926757812,784.75,763.5499877929688,765.5599975585938,765.5599975585938,5026500,AMZN,797.7121,767.030029296875,32.152099609375,0.0
2016-11-03,765.0499877929688,777.0,764.0,767.030029296875,767.030029296875,3872500,AMZN,789.46387,755.0499877929688,0.0,-22.433837890625
2016-11-04,762.7899780273438,766.0,753.22998046875,755.0499877929688,755.0499877929688,5122100,AMZN,780.95795,784.9299926757812,25.907958984375,0.0
2016-11-07,771.6400146484375,787.72998046875,770.9400024414062,784.9299926757812,784.9299926757812,5984400,AMZN,777.02356,787.75,-7.90643310546875,0.0
2016-11-08,784.969970703125,791.739990234375,779.0999755859375,787.75,787.75,3412600,AMZN,776.8663,771.8800048828125,0.0,10.88372802734375
2016-11-09,764.0,777.5,760.0900268554688,771.8800048828125,771.8800048828125,8562900,AMZN,775.50104,742.3800048828125,0.0,-3.62103271484375
2016-11-10,778.8099975585938,778.8300170898438,717.7000122070312,742.3800048828125,742.3800048828125,12747000,AMZN,771.7055,739.010009765625,0.0,-29.32550048828125
2016-11-11,735.72998046875,743.260009765625,728.9000244140625,739.010009765625,739.010009765625,6622800,AMZN,764.39606,719.0700073242188,0.0,-25.38604736328125
2016-11-14,745.510009765625,746.0,710.0999755859375,719.0700073242188,719.0700073242188,7321300,AMZN,755.6593,743.239990234375,36.58929443359375,0.0
2016-11-15,730.0,746.780029296875,725.989990234375,743.239990234375,743.239990234375,6755800,AMZN,748.75806,746.489990234375,5.51806640625,0.0
2016-11-16,739.8800048828125,749.8699951171875,735.6099853515625,746.489990234375,746.489990234375,3648800,AMZN,744.8083,756.4000244140625,-1.68170166015625,0.0
2016-11-17,749.3200073242188,757.5,748.0,756.4000244140625,756.4000244140625,3690100,AMZN,744.4176,760.1599731445312,-11.982421875,0.0
2016-11-18,761.0,767.739990234375,757.6400146484375,760.1599731445312,760.1599731445312,4373400,AMZN,747.1284,780.0,-13.03155517578125,0.0
2016-11-21,766.0,780.3499755859375,765.1099853515625,780.0,780.0,4614600,AMZN,752.7344,785.3300170898438,-27.265625,0.0
2016-11-22,788.1699829101562,792.4000244140625,781.0,785.3300170898438,785.3300170898438,5311300,AMZN,761.0493,780.1199951171875,0.0,24.28070068359375
2016-11-23,781.72998046875,781.75,773.1199951171875,780.1199951171875,780.1199951171875,3540300,AMZN,768.00824,780.3699951171875,-12.11175537109375,0.0
2016-11-25,786.5,786.75,777.9000244140625,780.3699951171875,780.3699951171875,1837100,AMZN,773.9147,766.77001953125,0.0,6.455322265625
2016-11-28,776.989990234375,777.0,764.239990234375,766.77001953125,766.77001953125,4438800,AMZN,776.52435,762.52001953125,0.0,-9.75433349609375
2016-11-29,768.0,769.8900146484375,761.3200073242188,762.52001953125,762.52001953125,3272300,AMZN,776.3394,750.5700073242188,0.0,-13.81939697265625
2016-11-30,762.0,768.0900268554688,750.25,750.5700073242188,750.5700073242188,4625900,AMZN,773.67896,743.6500244140625,0.0,-23.10894775390625
2016-12-01,752.4099731445312,753.3699951171875,738.030029296875,743.6500244140625,743.6500244140625,4666000,AMZN,768.57446,740.3400268554688,0.0,-24.9244384765625
2016-12-02,743.4000244140625,748.489990234375,736.7000122070312,740.3400268554688,740.3400268554688,3561300,AMZN,762.3995,759.3599853515625,22.0594482421875,0.0
2016-12-05,745.0,761.489990234375,742.0,759.3599853515625,759.3599853515625,4314700,AMZN,758.3888,764.719970703125,-0.97119140625,0.0
2016-12-06,763.989990234375,768.239990234375,757.25,764.719970703125,764.719970703125,3794700,AMZN,757.83026,770.4199829101562,-6.88970947265625,0.0
2016-12-07,764.5499877929688,770.4199829101562,755.8200073242188,770.4199829101562,770.4199829101562,3684900,AMZN,759.15015,767.3300170898438,0.0,11.26983642578125
2016-12-08,771.8699951171875,773.7899780273438,765.1900024414062,767.3300170898438,767.3300170898438,3189600,AMZN,761.7324,768.6599731445312,-5.59759521484375,0.0
2016-12-09,770.0,770.25,765.3400268554688,768.6599731445312,768.6599731445312,2470900,AMZN,764.30115,760.1199951171875,0.0,4.35882568359375
2016-12-12,766.4000244140625,766.8900146484375,757.2000122070312,760.1199951171875,760.1199951171875,2963900,AMZN,765.49286,774.3400268554688,5.37286376953125,0.0
2016-12-13,764.9600219726562,782.4600219726562,762.0,774.3400268554688,774.3400268554688,5285300,AMZN,767.3407,768.8200073242188,0.0,6.99932861328125
2016-12-14,778.25,780.8599853515625,762.8099975585938,768.8200073242188,768.8200073242188,5454800,AMZN,769.4783,761.0,0.0,-0.65826416015625
2016-12-15,766.280029296875,769.0999755859375,760.3099975585938,761.0,761.0,3801900,AMZN,769.92914,757.77001953125,0.0,-8.92913818359375
2016-12-16,765.0,765.1300048828125,754.0,757.77001953125,757.77001953125,4848200,AMZN,768.9833,766.0,11.2132568359375,0.0
2016-12-19,758.8900146484375,770.5,756.1599731445312,766.0,766.0,3113200,AMZN,767.9846,771.219970703125,1.984619140625,0.0
2016-12-20,768.6500244140625,774.3900146484375,767.7100219726562,771.219970703125,771.219970703125,2703600,AMZN,768.35657,770.5999755859375,0.0,2.8634033203125
